Date,Open,High,Low,Close,Adj Close,Volume
2004-01-08,85.30,85.64,85.18,85.46,42.92,513300
2004-01-09,86.88,87.07,86.01,86.95,43.67,1623000
2004-01-12,86.60,87.38,86.60,86.88,43.63,863200
2004-01-13,86.68,87.47,86.56,87.47,43.93,465700
2004-01-14,87.49,87.92,87.15,87.90,44.14,1180300
2004-01-15,87.95,88.31,87.60,88.23,44.31,1537200
2004-01-16,88.68,88.80,87.61,87.61,44.00,751800
2004-01-20,87.50,87.93,87.50,87.59,43.99,629600
2004-01-21,87.75,87.81,87.44,87.80,44.09,570500
2004-01-22,87.95,88.48,87.71,88.44,44.42,443600
2004-01-23,88.56,88.90,87.26,87.38,43.88,1021300
2004-01-26,87.30,87.36,86.67,86.85,43.62,639500
2004-01-27,86.73,87.40,86.73,87.39,43.89,576100
2004-01-28,87.25,87.85,85.86,86.62,43.50,1823800
2004-01-29,86.22,86.58,86.02,86.44,43.41,814500
2004-01-30,86.90,87.22,86.60,87.04,43.71,526200
2004-02-02,86.45,86.88,86.38,86.50,43.62,335600
2004-02-03,86.92,86.99,86.60,86.94,43.84,350900
2004-02-04,86.79,86.86,86.48,86.77,43.76,645700
2004-02-05,86.84,87.08,86.24,86.43,43.59,971400
2004-02-06,87.14,87.45,87.03,87.38,44.06,798200
2004-02-09,87.56,87.64,87.39,87.64,44.20,272400
2004-02-10,87.48,87.55,87.04,87.15,43.95,203200
2004-02-11,87.02,88.20,86.91,87.80,44.28,1335100
2004-02-12,87.85,88.00,87.26,87.43,44.09,256700
2004-02-13,87.80,88.10,87.57,87.80,44.28,513600
2004-02-17,87.86,87.89,87.53,87.74,44.25,644100
2004-02-18,88.10,88.18,87.69,87.86,44.31,990900
2004-02-19,87.53,87.95,87.47,87.95,44.35,668900
2004-02-20,87.75,87.83,87.20,87.34,44.04,1009800
2004-02-23,87.39,87.88,87.32,87.88,44.32,504000
2004-02-24,88.05,88.39,87.86,88.04,44.40,940900
2004-02-25,88.22,88.36,88.03,88.18,44.47,572300
2004-02-26,87.85,87.96,87.54,87.90,44.33,399100
2004-02-27,88.22,88.78,87.96,88.66,44.71,836000
2004-03-01,88.46,88.64,88.04,88.27,44.69,771900
2004-03-02,88.12,88.20,87.40,87.71,44.41,676000
2004-03-03,87.39,87.64,87.11,87.55,44.33,718000
2004-03-04,87.40,87.95,87.34,87.94,44.53,421600
2004-03-05,89.77,90.00,89.52,89.64,45.39,2789800
2004-03-08,90.06,90.32,90.00,90.17,45.65,1309400
2004-03-09,90.25,90.85,90.19,90.77,45.96,829000
2004-03-10,90.52,90.93,90.48,90.71,45.93,878900
2004-03-11,91.05,91.05,90.15,90.84,45.99,1337100
2004-03-12,90.61,90.81,90.22,90.28,45.71,442100
2004-03-15,90.42,90.64,90.23,90.43,45.79,756200
2004-03-16,90.29,91.18,90.05,91.18,46.17,1374200
2004-03-17,91.47,91.48,90.90,91.03,46.09,1936500
2004-03-18,90.71,91.06,90.40,90.55,45.85,1842100
2004-03-19,90.47,90.60,90.21,90.43,45.79,366700
2004-03-22,90.59,90.98,90.59,90.98,46.06,947200
2004-03-23,90.89,91.14,90.75,91.14,46.15,562200
2004-03-24,91.16,91.23,90.92,91.09,46.12,327400
2004-03-25,90.72,90.94,90.65,90.74,45.94,514000
